x y z
-0.635 -1.121 8.830
0.327 -1.182 9.801
-0.273 -1.152 10.467
-1.054 -0.996 10.288
0.041 -0.947 10.256
-1.148 -0.720 10.479
-0.364 -0.705 9.817
0.571 -0.799 9.796
-0.897 -0.642 10.430
-0.876 -0.575 10.064
0.800 -0.779 10.458
-1.037 -0.549 10.435
0.739 -0.537 9.766
0.245 -0.654 9.948
-1.084 -0.584 10.494
-0.176 -0.579 9.971
0.400 -0.803 10.507
-0.550 -0.825 10.243
0.461 -0.684 9.559
-0.219 -0.517 10.027
-0.563 -0.574 10.326
-0.034 -0.813 9.618
0.224 -0.709 10.374
-0.304 -0.856 9.809
0.082 -1.100 9.476
-0.002 -1.153 9.882
-0.738 -0.923 10.313
-0.516 -0.945 9.647
0.450 -1.201 10.391
-0.797 -1.184 10.012
0.603 -1.309 9.602
0.031 -1.478 10.193
-1.213 -1.267 10.468
-0.054 -1.356 9.808
0.561 -1.399 10.681
-0.579 -1.512 9.937
0.753 -1.314 9.608
-0.532 -1.415 10.629
-1.134 -1.250 10.667
0.541 -1.149 9.701
0.434 -1.250 10.883
0.297 -1.390 9.921
0.703 -1.328 9.963
-0.781 -1.143 10.847
-0.392 -1.109 10.490
0.505 -1.137 9.887
-0.003 -1.023 10.680
0.120 -0.713 9.848
0.129 -0.909 10.211
-0.518 -0.923 10.528
-0.266 -0.739 10.352
0.334 -0.841 10.079
0.200 -0.909 10.503
0.095 -0.772 10.165
0.400 -0.895 10.127
-0.206 -0.941 10.436
-0.436 -0.850 10.403
0.350 -0.848 9.796
0.408 -1.092 10.439
0.167 -0.706 9.919
0.561 -0.882 10.086
-0.769 -1.065 10.351
-0.647 -0.996 10.092
0.601 -0.896 9.802
-0.213 -0.997 10.311
0.531 -0.889 9.918
0.098 -0.936 10.319
-0.880 -1.047 10.566
0.078 -1.129 10.085
0.707 -1.189 10.025
-0.498 -1.147 10.283
0.754 -1.225 10.016
-0.398 -1.154 10.381
-0.388 -1.137 10.655
0.175 -1.279 10.280
-0.202 -1.317 10.144
-0.242 -1.332 10.515
-0.083 -1.217 10.135
-0.077 -1.316 10.594
-0.638 -1.171 10.791
-0.399 -1.132 10.332
0.168 -1.146 10.308
-0.431 -1.096 10.643
0.363 -1.164 10.271
0.063 -1.105 10.700
-0.688 -0.942 10.977
-0.046 -0.884 10.345
0.826 -0.863 10.429
-0.304 -0.965 10.551
1.004 -1.035 10.224
-0.019 -0.913 10.856
-0.954 -0.839 10.894
0.504 -0.833 10.171
0.257 -0.751 10.433
-0.962 -0.784 10.196
0.724 -0.999 10.262
