x y z
-0.901 0.019 8.878
-0.857 -0.123 9.805
-0.776 0.094 9.990
-0.775 0.187 10.205
-0.621 0.350 10.039
-0.564 0.316 9.925
-0.545 0.126 10.074
-1.099 0.148 10.256
-0.975 0.068 10.024
-0.385 0.262 9.888
-0.239 0.201 9.986
-0.380 0.153 10.143
-0.924 0.221 10.206
-0.865 0.201 9.835
-0.711 0.366 9.955
-0.830 0.225 9.751
-0.850 0.049 9.924
-0.781 0.301 9.860
-0.414 0.380 9.812
-0.598 0.269 9.660
-0.934 0.195 9.830
-0.787 -0.007 9.707
-0.756 0.106 9.833
-0.773 0.179 9.619
-0.847 0.136 9.718
-0.650 0.018 9.606
-0.467 0.131 9.613
-0.581 0.204 9.761
-0.973 0.211 9.732
-1.108 0.050 9.446
-1.063 -0.057 9.303
-0.738 0.112 9.376
-0.692 0.308 9.243
-0.747 0.527 9.329
-0.715 0.359 9.342
-0.682 0.336 9.214
-0.781 0.211 9.257
-0.944 0.388 9.487
-0.794 0.331 9.251
-0.532 0.324 9.083
-0.370 0.431 9.312
-0.442 0.544 9.473
-0.589 0.601 9.691
-0.503 0.404 9.449
-0.395 0.328 9.787
-0.621 0.410 10.007
-0.716 0.278 9.971
-0.647 0.215 9.820
-0.409 0.458 10.050
-0.246 0.492 10.116
-0.453 0.330 10.254
-0.633 0.347 10.045
-0.574 0.168 9.992
-0.668 0.139 10.156
-0.817 0.289 10.402
-0.705 0.389 9.920
-0.430 0.511 9.845
-0.510 0.385 9.682
-0.895 0.431 10.096
-0.907 0.381 9.946
-0.732 0.430 9.664
-0.616 0.308 9.817
-0.914 0.174 9.849
-1.098 0.369 9.809
-0.727 0.375 9.655
-0.638 0.443 9.593
-0.676 0.272 9.814
-0.973 0.288 9.775
-0.879 0.391 9.917
-0.759 0.472 9.637
-0.979 0.415 9.641
-1.043 0.326 9.962
-1.055 0.507 9.779
-0.694 0.489 9.748
-0.635 0.474 9.686
-0.851 0.340 9.780
-0.957 0.129 9.965
-0.949 0.305 9.772
-0.736 0.191 9.692
