x y z
-0.325 0.184 9.095
-0.248 0.202 9.915
-0.170 0.236 9.922
-0.249 0.497 9.759
-0.209 0.427 9.592
-0.252 0.538 9.829
-0.276 0.456 9.597
-0.482 0.597 9.817
-0.379 0.634 9.818
-0.235 0.840 9.919
-0.174 0.885 9.939
-0.194 0.823 9.842
-0.336 0.791 10.140
-0.312 0.447 9.896
-0.443 0.505 9.992
-0.377 0.211 9.877
-0.402 0.169 9.955
-0.432 0.415 9.993
-0.166 0.334 9.672
-0.153 0.595 9.735
-0.086 0.329 9.525
-0.330 0.609 9.743
-0.279 0.546 9.501
-0.392 0.642 9.586
-0.416 0.815 9.763
-0.226 0.787 9.843
-0.247 0.999 9.851
-0.199 0.634 9.869
-0.290 0.638 9.983
-0.327 0.405 9.859
-0.370 0.264 10.023
-0.392 0.278 9.851
-0.283 0.319 9.904
-0.252 0.461 9.627
-0.169 0.346 9.604
-0.261 0.464 9.666
-0.241 0.452 9.497
-0.275 0.537 9.698
-0.423 0.651 9.538
-0.444 0.672 9.942
-0.433 0.824 9.822
-0.163 0.715 9.827
-0.114 0.884 10.040
-0.239 0.586 9.872
-0.511 0.504 10.219
-0.442 0.279 9.957
-0.331 0.184 10.025
-0.324 0.303 9.963
-0.252 0.196 9.927
-0.335 0.377 9.873
-0.193 0.380 9.601
-0.112 0.575 9.765
-0.180 0.674 9.596
-0.147 0.523 9.683
-0.491 0.754 9.523
-0.398 0.640 9.787
-0.294 0.842 9.882
-0.092 0.673 9.809
-0.089 0.712 10.003
-0.227 0.601 9.802
-0.277 0.315 9.983
-0.382 0.284 9.884
-0.350 0.200 9.937
-0.309 0.342 9.794
-0.191 0.236 9.633
-0.150 0.488 9.814
-0.155 0.513 9.388
-0.263 0.590 9.733
-0.392 0.572 9.441
-0.468 0.605 9.615
-0.537 0.831 9.684
-0.260 0.765 9.672
-0.189 0.964 9.900
-0.103 0.724 9.730
-0.287 0.757 10.099
-0.336 0.386 9.854
-0.412 0.298 9.955
-0.501 0.276 9.922
-0.343 0.274 9.882
-0.129 0.414 9.902
-0.059 0.328 9.608
-0.354 0.499 9.786
-0.363 0.477 9.566
-0.319 0.529 9.705
-0.290 0.678 9.689
-0.321 0.641 9.787
-0.415 0.811 9.892
-0.214 0.755 9.891
-0.173 0.876 10.141
-0.178 0.757 9.910
-0.307 0.519 10.136
-0.428 0.318 9.898
-0.357 0.179 10.027
-0.300 0.281 9.901
-0.243 0.294 9.873
-0.214 0.425 9.900
-0.160 0.441 9.564
-0.185 0.562 9.750
-0.291 0.526 9.537
-0.422 0.455 9.782
-0.468 0.552 9.735
-0.289 0.569 9.703
-0.196 0.931 9.934
-0.109 0.834 9.837
-0.278 0.821 10.153
-0.330 0.507 9.836
-0.339 0.359 9.983
-0.416 0.453 9.974
-0.354 0.212 9.946
-0.437 0.424 9.896
-0.187 0.351 9.770
-0.150 0.595 9.761
-0.151 0.584 9.558
-0.196 0.483 9.523
-0.301 0.571 9.573
-0.353 0.572 9.597
-0.465 0.827 9.722
-0.239 0.811 9.858
-0.242 0.936 9.963
-0.116 0.729 9.791
-0.233 0.663 9.959
-0.322 0.462 9.940
-0.345 0.246 10.064
-0.392 0.312 9.878
-0.310 0.216 9.897
-0.308 0.428 9.923
-0.226 0.428 9.691
-0.221 0.473 9.701
-0.242 0.482 9.486
-0.295 0.502 9.724
-0.419 0.684 9.748
-0.388 0.553 9.656
-0.400 0.808 9.845
-0.144 0.748 9.912
-0.111 0.863 10.047
-0.226 0.628 9.974
-0.287 0.399 9.891
-0.503 0.425 10.079
-0.334 0.132 9.996
-0.346 0.388 10.130
-0.255 0.194 9.903
-0.360 0.441 9.940
-0.302 0.437 9.782
-0.168 0.476 9.766
-0.162 0.646 9.569
-0.150 0.513 9.648
-0.457 0.720 9.562
-0.418 0.636 9.832
-0.489 0.925 9.957
-0.221 0.838 9.848
-0.039 0.707 9.982
-0.161 0.569 9.801
-0.279 0.291 10.056
-0.403 0.302 9.979
-0.364 0.165 9.843
-0.390 0.338 10.104
-0.218 0.267 9.687
-0.192 0.481 9.906
-0.206 0.540 9.424
-0.215 0.568 9.720
-0.336 0.623 9.690
-0.405 0.516 9.617
-0.492 0.794 9.754
-0.291 0.778 9.643
-0.225 0.972 9.971
-0.109 0.765 9.800
-0.293 0.684 9.931
-0.323 0.686 9.989
-0.388 0.293 9.943
-0.549 0.322 10.009
-0.322 0.169 9.940
-0.141 0.440 9.952
-0.093 0.497 9.781
-0.129 0.352 9.781
-0.345 0.482 9.634
-0.273 0.473 9.750
-0.332 0.782 9.799
-0.280 0.609 9.747
-0.460 0.741 10.013
-0.300 0.752 9.947
-0.214 0.885 10.156
-0.157 0.784 9.960
-0.251 0.436 10.082
-0.450 0.333 9.951
-0.380 0.175 10.007
-0.447 0.349 10.113
-0.221 0.247 9.878
-0.204 0.431 9.951
-0.183 0.446 9.619
-0.179 0.547 9.797
-0.272 0.595 9.668
-0.250 0.353 9.626
-0.525 0.581 9.848
-0.327 0.610 9.798
-0.151 0.915 10.113
-0.135 0.919 9.864
-0.315 0.717 9.986
-0.376 0.708 9.961
-0.260 0.359 10.039
-0.359 0.484 10.074
-0.435 0.232 9.922
-0.435 0.325 10.080
-0.171 0.405 9.860
-0.147 0.518 9.882
-0.125 0.620 9.631
-0.132 0.356 9.624
-0.307 0.573 9.621
-0.331 0.628 9.625
-0.458 0.748 9.801
-0.413 0.804 9.718
-0.220 0.807 9.977
-0.160 0.890 9.851
-0.203 0.666 10.059
-0.403 0.487 9.964
-0.336 0.209 9.887
-0.403 0.300 10.090
-0.296 0.240 9.946
-0.313 0.458 10.050
-0.263 0.425 9.717
-0.223 0.459 9.749
-0.197 0.519 9.751
-0.222 0.446 9.650
-0.358 0.650 9.835
-0.397 0.555 9.656
-0.391 0.741 9.962
-0.207 0.798 9.910
-0.087 0.791 9.947
-0.126 0.844 10.069
-0.215 0.438 9.926
-0.495 0.429 10.192
-0.407 0.198 10.101
-0.357 0.369 10.148
-0.218 0.281 9.988
-0.234 0.273 9.968
-0.321 0.444 9.883
-0.202 0.385 9.736
-0.142 0.656 9.747
-0.084 0.520 9.665
-0.415 0.737 9.927
-0.435 0.750 9.755
-0.436 0.818 9.910
-0.251 0.876 9.839
-0.010 0.592 9.886
-0.166 0.584 9.940
-0.258 0.223 9.970
-0.429 0.419 10.132
-0.413 0.220 9.947
-0.333 0.289 10.080
-0.226 0.290 9.787
-0.208 0.455 9.882
-0.260 0.572 9.786
-0.150 0.389 9.517
-0.324 0.654 9.783
-0.363 0.493 9.671
-0.480 0.761 9.762
-0.331 0.756 9.675
-0.211 0.948 9.805
-0.189 0.982 9.997
-0.145 0.721 9.930
-0.284 0.700 10.050
-0.377 0.347 9.919
-0.507 0.288 10.099
-0.367 0.194 10.016
-0.248 0.285 9.979
-0.116 0.514 9.897
-0.047 0.342 9.799
-0.337 0.514 9.807
-0.329 0.415 9.743
-0.318 0.772 9.851
-0.259 0.668 9.723
-0.304 0.675 10.024
-0.390 0.805 9.991
-0.194 0.849 10.136
-0.169 0.820 10.002
-0.221 0.435 9.931
-0.390 0.483 10.237
-0.416 0.250 10.019
-0.359 0.266 10.129
-0.302 0.277 9.878
-0.267 0.359 9.982
-0.180 0.454 9.988
-0.146 0.415 9.580
-0.188 0.582 9.779
-0.272 0.400 9.674
-0.494 0.560 9.920
-0.316 0.571 9.824
-0.190 0.964 9.807
-0.152 0.949 9.991
-0.115 0.712 9.943
-0.358 0.776 10.071
-0.304 0.450 10.002
-0.419 0.510 10.120
-0.370 0.210 10.003
-0.382 0.199 10.108
-0.378 0.415 9.955
-0.184 0.446 9.894
-0.146 0.607 9.760
-0.112 0.321 9.623
-0.320 0.595 9.793
-0.311 0.634 9.639
-0.325 0.685 9.767
-0.409 0.789 9.770
-0.229 0.815 10.050
-0.179 0.918 9.899
-0.160 0.700 10.062
-0.277 0.639 10.033
-0.376 0.343 9.947
-0.410 0.282 10.184
-0.334 0.258 9.933
-0.318 0.376 10.070
-0.281 0.443 9.741
-0.209 0.301 9.721
-0.243 0.488 9.779
-0.189 0.501 9.608
-0.348 0.597 9.884
-0.427 0.529 9.672
-0.431 0.741 10.024
-0.406 0.919 9.896
-0.138 0.777 9.999
-0.142 0.841 10.110
-0.223 0.489 9.951
-0.480 0.460 10.263
-0.428 0.257 10.091
-0.366 0.182 10.142
-0.312 0.264 10.046
-0.243 0.196 10.029
-0.315 0.421 9.942
-0.243 0.404 9.772
-0.170 0.620 9.855
-0.179 0.700 9.770
-0.193 0.612 9.951
-0.463 0.794 9.702
-0.467 0.798 9.946
-0.301 0.857 10.031
-0.069 0.626 9.867
-0.088 0.720 10.247
-0.195 0.608 9.934
-0.374 0.403 10.149
-0.394 0.182 9.918
-0.366 0.260 10.141
-0.257 0.312 9.845
-0.171 0.255 9.762
-0.158 0.459 9.862
-0.133 0.431 9.563
-0.290 0.626 9.834
-0.409 0.558 9.662
-0.492 0.693 9.858
-0.471 0.843 9.810
-0.176 0.817 9.839
-0.209 1.009 10.043
-0.205 0.735 9.943
-0.282 0.700 10.120
-0.319 0.361 9.888
-0.379 0.368 10.177
-0.497 0.322 10.004
-0.316 0.182 10.032
-0.167 0.438 9.901
-0.056 0.367 9.817
-0.333 0.504 9.808
-0.326 0.427 9.709
-0.348 0.593 9.883
-0.297 0.702 9.703
-0.316 0.708 10.094
-0.400 0.820 10.003
-0.237 0.832 10.187
-0.229 0.873 10.197
-0.187 0.669 10.032
-0.255 0.484 10.310
-0.428 0.276 10.044
-0.437 0.232 10.220
-0.366 0.262 9.958
-0.252 0.167 10.012
-0.253 0.494 9.984
-0.128 0.420 9.646
-0.206 0.624 9.822
-0.208 0.403 9.723
-0.469 0.565 9.983
-0.505 0.582 9.780
-0.304 0.641 9.866
-0.141 0.946 10.016
-0.075 0.741 9.955
-0.372 0.840 10.137
-0.326 0.400 10.080
-0.360 0.389 10.073
-0.366 0.318 10.079
-0.387 0.167 10.142
-0.428 0.437 9.983
-0.210 0.425 9.931
-0.173 0.610 9.777
-0.126 0.514 9.742
-0.233 0.583 9.811
-0.270 0.590 9.680
-0.384 0.712 9.805
-0.422 0.864 9.778
-0.199 0.781 10.059
-0.255 0.985 10.016
-0.084 0.726 9.949
-0.304 0.632 10.108
-0.344 0.335 9.992
-0.388 0.264 10.233
-0.388 0.264 9.952
-0.285 0.157 10.019
-0.309 0.402 9.945
-0.232 0.299 9.745
-0.234 0.537 9.779
-0.206 0.483 9.622
-0.365 0.602 9.937
-0.468 0.695 9.750
-0.392 0.572 9.897
-0.376 0.866 9.939
-0.167 0.803 10.006
-0.100 0.829 10.180
-0.196 0.482 9.965
-0.286 0.487 10.260
-0.521 0.410 10.035
-0.427 0.208 10.207
-0.296 0.245 10.107
-0.196 0.235 10.012
-0.313 0.441 9.982
-0.279 0.416 9.772
-0.176 0.488 10.036
-0.161 0.670 9.706
-0.202 0.700 9.984
-0.431 0.744 9.748
-0.519 0.815 9.890
-0.450 0.895 10.138
-0.252 0.940 9.985
-0.117 0.687 10.249
-0.208 0.592 10.054
-0.328 0.382 10.190
-0.355 0.191 10.074
-0.416 0.163 9.968
-0.392 0.346 10.173
-0.181 0.237 9.738
-0.132 0.489 9.872
-0.105 0.444 9.570
-0.345 0.599 9.839
-0.418 0.553 9.580
-0.415 0.471 9.734
-0.444 0.876 9.864
-0.187 0.808 9.805
-0.279 0.996 10.116
-0.182 0.690 9.904
-0.198 0.766 10.229
-0.242 0.589 10.034
-0.431 0.359 10.152
-0.562 0.285 10.071
-0.348 0.234 10.079
-0.120 0.489 9.944
-0.072 0.522 9.839
-0.181 0.474 9.890
-0.351 0.441 9.749
-0.333 0.558 9.843
-0.270 0.717 9.807
-0.346 0.689 9.982
-0.452 0.793 10.141
-0.261 0.727 9.994
-0.172 0.880 10.223
-0.154 0.636 10.052
-0.377 0.527 10.312
-0.436 0.255 10.137
-0.399 0.111 10.101
-0.377 0.320 10.211
-0.261 0.224 10.026
-0.294 0.500 10.037
-0.141 0.395 9.658
-0.239 0.628 9.864
-0.259 0.598 9.723
-0.313 0.368 9.732
-0.468 0.578 9.770
-0.279 0.656 9.900
-0.144 0.897 10.053
-0.099 0.781 9.990
-0.133 0.778 10.208
-0.361 0.630 9.930
-0.284 0.363 10.152
-0.337 0.367 10.115
-0.380 0.218 10.158
-0.420 0.450 10.075
-0.306 0.368 9.884
-0.132 0.547 10.011
-0.130 0.536 9.685
-0.249 0.577 9.853
-0.279 0.619 9.700
-0.355 0.671 9.781
-0.474 0.834 9.963
-0.336 0.805 9.919
-0.220 0.996 10.032
-0.078 0.739 9.923
-0.246 0.619 10.113
-0.388 0.349 10.016
-0.334 0.181 10.041
-0.452 0.325 10.089
-0.282 0.188 10.040
-0.315 0.441 10.019
-0.210 0.303 9.707
-0.266 0.547 9.852
-0.215 0.498 9.646
-0.205 0.503 9.839
-0.402 0.666 9.803
-0.426 0.602 9.891
-0.389 0.889 10.003
-0.190 0.760 10.030
-0.138 0.897 10.286
-0.121 0.788 10.113
-0.272 0.513 10.199
-0.523 0.387 10.141
-0.419 0.167 10.227
-0.274 0.236 10.108
-0.194 0.247 10.065
-0.260 0.400 10.067
-0.275 0.381 9.811
