x y z
-0.656 -0.099 9.846
-0.635 -0.117 9.928
-0.637 -0.106 9.906
-0.690 -0.087 9.910
-0.672 -0.102 9.842
-0.666 -0.108 9.876
-0.644 -0.123 9.868
-0.650 -0.124 9.847
-0.624 -0.125 9.849
-0.595 -0.136 9.833
-0.653 -0.136 9.863
-0.646 -0.117 9.814
-0.640 -0.120 9.851
-0.614 -0.132 9.809
-0.589 -0.135 9.846
-0.604 -0.137 9.812
-0.622 -0.123 9.805
-0.610 -0.136 9.814
-0.653 -0.120 9.817
-0.608 -0.124 9.803
-0.625 -0.123 9.819
-0.640 -0.115 9.818
-0.681 -0.099 9.831
-0.710 -0.117 9.802
-0.712 -0.108 9.796
-0.705 -0.121 9.824
-0.684 -0.077 9.824
-0.685 -0.075 9.840
-0.681 -0.084 9.815
-0.715 -0.080 9.843
-0.695 -0.130 9.839
-0.706 -0.118 9.795
-0.653 -0.086 9.851
-0.672 -0.118 9.857
-0.651 -0.087 9.898
-0.642 -0.122 9.814
-0.669 -0.124 9.835
-0.641 -0.117 9.782
-0.648 -0.087 9.832
-0.638 -0.133 9.814
-0.671 -0.119 9.803
-0.656 -0.127 9.742
-0.703 -0.137 9.780
-0.667 -0.126 9.772
-0.665 -0.098 9.809
-0.667 -0.097 9.757
-0.681 -0.089 9.796
-0.738 -0.097 9.789
-0.735 -0.099 9.789
-0.718 -0.074 9.832
-0.689 -0.094 9.794
-0.667 -0.096 9.787
-0.708 -0.080 9.833
-0.733 -0.068 9.787
-0.697 -0.069 9.792
-0.671 -0.090 9.829
-0.657 -0.123 9.811
-0.679 -0.119 9.809
-0.698 -0.121 9.792
-0.673 -0.119 9.803
-0.639 -0.124 9.812
-0.682 -0.160 9.785
-0.705 -0.168 9.811
-0.714 -0.153 9.808
-0.720 -0.152 9.833
-0.711 -0.132 9.812
-0.717 -0.100 9.799
-0.737 -0.126 9.806
-0.750 -0.125 9.818
-0.748 -0.114 9.829
-0.744 -0.090 9.797
-0.741 -0.112 9.787
-0.751 -0.085 9.821
-0.717 -0.083 9.776
-0.744 -0.098 9.815
-0.745 -0.083 9.815
-0.763 -0.093 9.838
-0.773 -0.067 9.809
-0.713 -0.109 9.806
-0.732 -0.103 9.852
-0.722 -0.120 9.794
-0.744 -0.112 9.858
-0.726 -0.108 9.762
-0.737 -0.111 9.814
-0.717 -0.111 9.794
-0.722 -0.133 9.821
-0.752 -0.133 9.784
-0.756 -0.106 9.797
-0.748 -0.128 9.811
-0.807 -0.139 9.823
-0.829 -0.078 9.777
-0.716 -0.048 9.760
-0.781 -0.080 9.858
-0.724 -0.092 9.771
-0.722 -0.089 9.833
-0.719 -0.115 9.832
-0.733 -0.107 9.828
-0.720 -0.154 9.799
-0.683 -0.127 9.800
-0.737 -0.160 9.778
-0.710 -0.184 9.769
-0.734 -0.150 9.781
-0.778 -0.105 9.815
-0.779 -0.111 9.790
-0.830 -0.090 9.842
-0.820 -0.114 9.812
-0.818 -0.095 9.814
-0.829 -0.088 9.860
-0.817 -0.057 9.837
-0.847 -0.104 9.829
-0.821 -0.086 9.812
-0.818 -0.078 9.848
-0.808 -0.126 9.772
-0.750 -0.098 9.829
-0.792 -0.096 9.791
-0.779 -0.107 9.780
-0.770 -0.114 9.818
-0.786 -0.100 9.808
-0.797 -0.109 9.816
-0.805 -0.083 9.805
-0.823 -0.105 9.840
-0.851 -0.125 9.826
-0.851 -0.084 9.837
-0.829 -0.072 9.855
-0.840 -0.076 9.826
-0.843 -0.133 9.878
-0.834 -0.074 9.788
-0.811 -0.059 9.785
-0.793 -0.102 9.807
-0.785 -0.143 9.809
-0.765 -0.133 9.782
-0.784 -0.093 9.765
-0.800 -0.139 9.768
-0.796 -0.155 9.765
-0.806 -0.102 9.827
-0.812 -0.095 9.779
-0.874 -0.112 9.829
-0.863 -0.120 9.800
-0.887 -0.068 9.896
-0.885 -0.074 9.837
-0.876 -0.111 9.886
-0.870 -0.095 9.878
-0.878 -0.093 9.910
-0.862 -0.055 9.829
-0.838 -0.114 9.849
-0.829 -0.144 9.882
-0.832 -0.103 9.809
-0.832 -0.080 9.793
-0.878 -0.123 9.818
-0.854 -0.174 9.882
-0.842 -0.126 9.850
-0.873 -0.086 9.793
-0.911 -0.100 9.922
-0.859 -0.114 9.928
-0.874 -0.114 9.915
-0.871 -0.077 9.854
-0.913 -0.087 9.885
-0.919 -0.108 9.869
-0.858 -0.095 9.842
-0.839 -0.104 9.810
-0.890 -0.124 9.781
-0.878 -0.136 9.817
-0.867 -0.153 9.762
-0.889 -0.118 9.729
-0.932 -0.121 9.808
-0.917 -0.118 9.841
-0.912 -0.126 9.793
-0.927 -0.048 9.795
-0.927 -0.062 9.906
-0.939 -0.181 9.922
-0.965 -0.100 9.824
-0.901 -0.029 9.907
-0.967 -0.158 9.943
-0.899 -0.150 9.903
-0.906 -0.048 9.907
-0.937 -0.118 9.758
-0.923 -0.129 9.726
-0.907 -0.156 9.885
-0.948 -0.139 9.884
-0.950 -0.112 9.749
-0.893 -0.043 9.838
-0.909 -0.122 9.983
-0.935 -0.098 9.847
-0.958 -0.036 9.775
-0.900 -0.054 9.894
-0.887 -0.154 9.945
-0.932 -0.084 9.854
-0.933 -0.161 9.888
-0.896 -0.162 9.882
-0.939 -0.141 9.846
-0.931 -0.142 9.859
-0.931 -0.133 9.885
-0.960 -0.080 9.865
-0.930 -0.120 9.906
-0.967 -0.104 9.875
-0.979 -0.083 9.875
-0.969 -0.098 9.933
-0.949 -0.115 9.918
-1.024 -0.068 9.853
-0.980 -0.085 9.856
-0.964 -0.102 9.899
-0.973 -0.103 9.852
-0.973 -0.079 9.792
-0.998 -0.120 9.887
-0.979 -0.126 9.842
-1.007 -0.096 9.835
-0.968 -0.098 9.862
-0.988 -0.095 9.904
-0.982 -0.095 9.846
-1.010 -0.086 9.881
-0.949 -0.105 9.891
-1.012 -0.071 9.851
-0.952 -0.165 9.866
-0.889 -0.123 9.878
-0.975 -0.095 9.852
-0.980 -0.158 9.852
-0.986 -0.159 9.902
-0.993 -0.070 9.834
-1.016 -0.119 9.848
-1.012 -0.105 9.973
-1.022 -0.084 9.909
-1.069 -0.106 9.887
-1.038 -0.046 9.831
-1.016 -0.115 9.954
-1.082 -0.084 9.818
-1.089 -0.035 9.866
-1.063 -0.120 9.893
-1.128 -0.044 9.774
