x y z
-0.479 -0.666 9.246
-0.274 -0.142 10.219
-0.336 0.013 9.782
-0.410 -0.525 10.178
-0.280 -0.546 10.387
-0.330 -0.549 9.949
-0.293 -0.381 9.675
-0.078 -0.129 9.684
-0.251 -0.690 10.533
-0.223 0.014 9.352
-0.299 -0.348 10.229
-0.276 -0.077 9.835
0.037 0.032 9.829
-0.233 -0.364 9.717
-0.109 0.007 9.119
-0.567 -0.620 9.760
-0.431 -0.218 9.236
-0.527 -0.657 10.037
-0.437 -0.087 9.017
-0.464 -0.351 9.708
-0.552 -0.532 9.864
-0.373 -0.185 9.231
-0.515 -0.427 9.479
-0.210 -0.066 8.973
0.066 -0.226 9.702
-0.134 -0.715 9.757
-0.086 -0.127 8.654
0.109 -0.181 9.470
-0.136 -0.015 9.055
-0.026 -0.150 9.998
-0.316 -0.229 9.271
0.262 -0.132 9.710
-0.552 -1.238 10.828
-0.492 0.431 9.153
-0.743 -0.929 11.984
-0.795 0.778 9.025
-0.181 -0.092 11.694
-0.618 -0.151 10.702
1.252 0.221 10.214
0.641 -1.148 11.304
1.266 0.383 9.261
-0.057 -1.155 11.584
-0.190 -0.096 9.062
0.043 -0.321 10.359
-0.419 -0.607 10.114
-0.756 -0.401 9.141
-0.689 -0.697 10.123
-0.724 0.139 9.093
-0.571 -1.043 10.538
-0.539 -0.611 8.344
-0.197 -0.681 10.324
-0.676 -0.855 10.174
-0.635 -0.443 9.728
-1.113 -0.508 9.459
-0.960 -0.312 9.679
-1.344 -0.974 10.386
-0.840 0.236 8.104
-0.806 -0.794 10.927
-0.714 -0.434 10.153
-0.874 -0.296 9.011
-0.595 0.075 9.093
-0.795 -0.584 9.756
-0.440 -0.965 10.001
0.186 -0.030 8.901
-0.106 -0.266 8.751
-0.133 -0.364 9.200
0.025 -0.282 9.794
-0.215 -0.349 9.848
-0.406 -0.377 9.260
-0.432 -0.459 9.504
-0.471 -0.458 9.644
-0.473 -0.111 9.146
-0.664 -0.668 10.004
-0.157 -0.064 9.157
-0.178 -1.080 10.887
-0.068 -0.392 9.061
0.221 -0.786 10.536
0.307 -0.129 9.136
0.077 -0.869 10.630
-0.066 -0.491 9.313
-0.290 -0.636 9.301
-0.644 -1.048 9.839
-0.611 -0.979 10.172
-1.149 -0.703 10.039
-1.245 -0.236 9.671
-0.636 -0.063 9.952
-0.434 -0.789 11.096
-0.537 -0.571 9.502
-0.243 -0.705 10.216
-0.005 -0.483 9.876
-0.053 -0.561 10.294
-0.444 -0.517 9.407
-0.329 -0.207 8.996
-0.725 -1.091 10.747
-0.576 -0.358 9.425
-0.874 -0.602 10.213
-0.822 -0.073 9.126
-0.372 -0.326 10.281
-0.103 -0.587 9.510
0.039 -0.622 9.098
0.015 -0.740 8.978
-0.052 -0.758 9.734
-0.521 -0.763 10.065
-0.842 -0.172 9.246
-0.760 -0.202 9.992
-0.859 -0.769 10.643
-0.702 -0.185 9.419
-0.550 -0.507 9.833
-0.587 -0.654 9.522
-0.161 -0.244 9.742
-0.400 -0.599 9.815
-0.234 -0.501 8.846
-0.185 -1.214 10.181
0.001 -0.353 8.911
0.144 -0.363 9.816
-0.145 -0.365 9.459
-0.425 -0.488 9.552
-0.412 -0.179 9.336
-0.899 -0.588 9.513
-0.754 -0.159 8.912
-0.834 -0.616 9.931
-0.457 -0.103 9.231
-0.324 -0.480 9.754
-0.286 -0.757 9.142
-0.039 -1.070 9.965
-0.254 -0.671 8.943
-0.128 -0.668 10.019
-0.604 -0.504 9.559
-0.669 -0.214 10.107
-0.905 -0.471 10.446
-0.793 -0.239 9.921
-0.803 -0.674 10.059
-0.404 -0.435 9.368
-0.049 -0.621 10.667
-0.410 -0.210 9.497
-0.270 -0.388 10.071
-0.450 -0.506 9.540
-0.236 -1.034 10.467
-0.374 -0.653 9.066
-0.269 -0.544 9.921
-0.542 -0.447 9.952
-0.614 -0.395 9.684
-0.555 -0.290 9.434
-0.525 -0.625 9.862
-0.299 -0.349 9.059
-0.213 -0.589 9.855
-0.572 -0.588 9.446
-0.165 -0.042 8.871
-0.568 -0.669 9.417
0.077 -0.153 9.108
-0.111 -0.583 9.650
-0.184 -0.312 8.809
0.039 -0.212 9.956
-0.570 -0.434 9.561
-0.473 -0.437 10.072
-0.583 -0.296 9.322
-0.540 -0.371 9.358
-0.480 -0.476 9.380
-0.543 -0.605 9.916
-0.459 -0.435 10.016
-0.511 -0.279 9.678
-0.521 -0.503 10.169
-0.432 -0.351 9.673
-0.345 -0.611 10.179
-0.382 -0.399 9.636
-0.230 -0.360 10.546
-0.421 -0.113 9.300
-0.669 -0.691 10.461
-0.811 -0.593 9.544
-0.492 -0.343 9.513
-0.890 -0.884 10.436
-0.474 -0.145 9.629
-0.742 -0.303 9.910
-0.834 -0.325 9.899
-0.470 -0.110 9.852
-0.397 -0.338 10.172
0.063 -0.336 9.753
0.462 -0.365 10.103
0.373 -0.482 9.508
0.300 -0.466 9.466
-0.272 -0.469 9.626
-0.620 -0.269 9.669
-0.742 -0.080 9.583
-0.809 -0.343 10.223
-0.753 -0.306 10.225
-0.749 -0.173 9.290
-0.782 -0.330 9.584
-0.543 -0.153 9.766
-0.340 0.008 9.575
-0.401 -0.295 10.465
-0.124 -0.136 10.325
-0.435 -0.383 9.901
-0.348 0.059 8.732
-0.462 -0.531 10.323
-0.233 -0.068 8.904
-0.065 -0.156 9.850
-0.237 0.020 8.617
0.134 -0.010 10.212
-0.395 -0.433 9.653
0.062 0.274 8.734
-0.107 -0.333 10.534
-0.565 -0.355 9.394
-0.507 -0.589 10.782
-0.506 -0.083 9.412
-0.079 0.355 9.720
-0.595 -0.308 10.308
-0.140 -0.004 9.553
-0.041 -0.200 10.356
-0.095 -0.106 9.340
-0.206 -0.502 10.303
-0.258 -0.437 9.986
-0.164 -0.098 9.796
-0.382 -0.313 10.618
-0.454 -0.230 10.192
-0.333 -0.164 10.399
-0.547 -0.415 10.293
-0.172 -0.068 10.192
-0.190 -0.145 10.443
-0.267 -0.321 10.353
0.021 -0.033 10.583
-0.246 -0.117 10.153
-0.263 -0.089 10.182
-0.403 -0.202 10.285
-0.463 -0.206 9.933
-0.526 -0.262 9.781
-0.482 -0.264 9.871
-0.551 -0.288 9.992
-0.511 -0.187 9.517
-0.559 -0.137 9.684
-0.568 -0.105 10.034
-0.449 -0.009 9.767
-0.402 -0.048 9.944
-0.384 -0.143 10.260
-0.191 0.043 10.064
-0.181 -0.020 10.402
-0.250 0.012 9.814
