x y z
1.505 0.972 10.460
0.550 -1.230 11.461
-1.278 -1.216 9.710
-0.200 1.842 10.415
0.486 1.239 9.114
-0.068 0.934 9.316
-1.563 -1.227 8.370
-0.815 -0.990 8.693
0.703 0.041 8.505
-0.422 -0.925 9.297
0.505 -1.018 9.447
1.019 0.845 11.668
-1.095 0.048 11.584
-0.767 -0.818 7.868
0.056 -0.063 6.730
1.196 -0.590 9.671
-1.019 -0.202 6.377
-2.255 -1.032 12.611
-0.377 0.642 7.023
0.876 -0.370 14.646
0.023 -0.791 4.750
0.005 -0.474 10.168
-0.263 1.138 11.016
-0.774 0.226 8.279
-0.154 0.236 10.894
0.899 -0.412 6.801
-2.345 -2.660 11.405
-0.185 0.573 8.323
1.001 1.040 9.022
1.708 0.690 12.300
-1.670 -1.327 11.815
-0.141 1.344 7.121
1.049 0.810 7.597
-0.220 -0.998 12.511
-0.476 -2.238 8.060
-0.737 -1.795 10.610
0.792 1.143 11.749
-0.629 0.661 11.077
-0.645 -0.031 7.620
1.444 0.026 9.351
1.345 0.250 9.881
-1.528 -1.284 10.518
-0.336 0.452 9.366
1.232 0.390 10.035
-1.489 -1.256 8.800
-0.806 -0.223 9.938
0.650 1.005 8.638
1.128 0.476 12.768
-0.890 -0.320 8.691
-0.298 0.718 10.785
0.296 -0.350 7.368
0.812 -1.145 15.878
0.722 -0.926 10.973
-2.094 -0.574 12.111
-0.629 0.051 6.281
1.531 0.034 11.786
1.292 -1.132 10.311
-0.576 -0.437 12.193
-0.815 0.656 11.959
0.277 0.797 8.093
0.589 -0.007 12.240
-0.522 -1.390 5.243
-1.542 -1.096 12.112
0.739 0.576 9.043
0.671 -0.039 11.416
0.680 -0.641 10.311
0.795 0.227 12.914
-0.874 0.626 9.371
-0.482 -0.555 7.412
1.198 -0.029 11.737
1.634 -0.592 11.101
-0.406 -1.836 10.008
-1.129 0.349 11.494
0.438 0.717 8.087
0.456 -0.991 13.284
1.055 -1.031 7.485
1.407 -0.014 10.793
-0.927 0.001 11.728
-0.307 0.733 9.111
1.041 -0.007 7.933
-1.405 -2.357 12.347
-0.101 -0.007 8.421
0.764 0.894 8.380
1.452 0.036 11.206
-0.099 -0.970 13.889
-0.941 1.049 9.750
0.406 0.374 5.998
0.591 1.509 14.729
-0.652 -0.995 11.475
-0.812 -2.857 8.822
1.024 -0.271 12.310
0.334 1.657 11.034
-1.473 -0.523 10.613
1.567 0.264 9.416
2.448 0.169 10.255
-0.256 -1.665 12.480
-0.973 -0.388 7.691
1.314 0.759 11.872
-1.170 -1.403 9.879
-0.725 -1.149 10.723
0.703 0.055 10.137
2.205 0.949 11.530
-0.534 -0.237 11.043
-1.210 0.375 11.066
0.189 -0.197 5.667
2.028 -0.798 15.476
1.583 -1.360 12.692
-1.893 -0.775 10.893
-0.872 0.463 9.254
1.500 0.927 9.189
1.564 -1.278 12.516
-0.090 -1.443 9.179
-0.140 0.555 11.884
0.822 0.797 7.418
1.220 -0.358 16.285
-0.051 -0.667 3.833
-1.557 -0.907 14.265
1.178 0.424 7.805
1.408 -0.048 9.638
1.013 -1.797 11.501
0.466 0.338 12.513
-0.248 1.037 10.344
-0.354 -0.197 6.379
0.814 -0.886 13.401
1.417 -0.735 8.259
0.198 -1.430 13.242
-0.399 0.595 9.068
0.117 0.534 10.278
0.640 -0.749 11.835
1.424 -0.416 10.326
1.054 0.395 12.203
-0.800 -0.093 9.858
0.724 -0.006 11.544
1.223 0.045 7.799
-1.414 -1.883 11.892
0.246 0.212 8.923
1.033 0.069 8.679
1.563 -0.175 12.290
-0.957 -0.600 13.433
-0.572 0.791 9.394
0.956 0.941 6.428
-0.217 -0.974 12.968
-0.514 -1.606 6.060
-0.988 -1.239 11.691
0.569 1.019 10.608
-1.076 -0.105 11.001
0.310 -0.151 9.283
1.694 0.322 11.122
0.388 -0.229 11.171
-1.481 -0.540 8.652
0.124 0.949 9.695
-0.423 -0.940 9.753
-1.255 -2.053 9.312
0.247 -0.185 9.829
0.852 0.310 14.582
0.041 0.406 10.887
-1.471 0.144 10.538
-1.006 -0.726 7.694
1.379 -0.392 10.674
0.268 -0.722 7.822
-1.849 -1.137 9.785
-2.336 -0.165 8.168
-0.474 0.627 10.037
0.809 0.037 11.620
-0.625 -2.212 11.060
-0.458 0.497 8.929
0.259 0.997 10.872
0.148 0.490 10.784
-0.808 -0.427 6.325
-1.643 -1.068 9.924
0.659 -0.290 11.663
0.793 -0.495 8.266
0.766 -1.018 14.045
0.243 0.122 9.891
-1.033 0.826 12.077
0.012 -0.039 6.477
0.849 -0.879 12.611
0.037 -1.444 8.244
-1.564 -1.912 12.644
-0.575 1.256 9.215
0.345 0.352 11.940
-0.146 -1.429 9.489
0.546 -0.573 9.712
-0.798 0.449 12.968
-0.709 0.282 8.049
0.288 0.692 10.791
0.087 -0.744 8.291
-1.928 -1.662 9.843
-0.428 0.126 9.154
1.420 0.006 11.372
1.292 -0.322 12.141
-1.728 -1.537 13.354
-0.818 0.569 7.956
1.256 1.105 8.228
-0.383 -0.614 11.454
-1.816 -1.993 7.278
-2.344 -1.776 10.046
0.717 0.864 11.060
-0.045 -0.089 11.557
-0.435 -0.818 7.900
0.957 0.991 10.904
-1.524 -0.153 11.876
-1.494 -0.247 6.867
-0.425 1.064 9.024
-0.073 -0.671 9.401
-1.772 -2.051 9.370
