x y z
-3.136 1.601 11.467
-2.883 0.048 10.384
-0.363 -1.145 7.195
-0.529 -1.175 10.168
-3.887 1.253 10.040
-0.609 -0.347 8.577
-0.368 -1.852 13.973
-1.113 -1.766 8.172
-1.963 0.641 11.498
-0.645 1.550 9.583
-1.215 -2.371 9.830
-2.287 -1.851 9.354
0.110 0.775 8.808
-3.015 1.312 14.727
-1.231 -1.223 7.641
-2.154 1.268 13.477
-0.513 -0.652 6.058
-1.810 0.401 14.893
-2.206 2.449 9.320
-1.007 1.485 10.773
0.087 -2.588 10.342
-1.633 -1.256 7.673
-3.422 2.264 10.926
-1.143 1.062 6.671
-0.928 -1.710 10.677
0.391 -1.721 6.653
-2.100 2.070 18.471
-1.239 1.409 6.356
-1.113 0.017 8.764
-0.303 -0.600 8.758
-3.645 -0.511 9.287
-3.738 0.490 10.731
-0.614 1.879 13.272
-3.035 -1.251 10.708
0.193 -1.013 4.389
-0.925 4.314 17.121
-2.264 2.761 7.683
-0.933 0.881 10.490
-1.175 -1.324 7.805
-2.812 -0.517 8.917
-1.619 0.674 8.147
-0.738 -0.242 10.275
1.582 -0.667 6.940
-1.500 1.429 17.894
-1.345 2.126 9.163
-2.355 -0.677 9.423
-1.006 -2.213 6.828
-0.923 -1.618 13.120
-2.721 1.023 8.790
0.227 1.004 9.108
-1.167 -1.775 12.634
0.487 -0.789 6.585
-2.630 2.453 14.477
-2.094 -0.604 7.201
-0.135 -1.900 9.631
0.990 -2.390 15.645
-1.563 1.244 6.882
-2.223 -0.023 8.669
0.040 -2.462 11.406
-1.286 -1.507 9.434
-2.061 1.076 10.624
-1.597 3.057 16.099
0.295 -0.971 10.314
-2.225 -1.572 9.048
1.565 0.724 10.929
-4.056 0.916 12.860
-1.183 -1.094 6.367
-1.086 -1.021 10.489
-0.540 0.373 7.989
-0.242 0.294 13.773
-1.437 0.967 7.501
-0.091 0.224 11.093
-1.088 -1.439 10.850
-0.761 -0.644 9.232
-3.361 1.497 10.570
-0.282 -0.189 8.015
-1.895 -0.793 10.914
0.516 -0.005 10.236
-2.440 3.087 13.174
-2.258 1.242 10.564
-0.365 -1.053 5.414
-1.182 -0.177 15.096
-1.394 1.293 8.037
-1.300 -0.403 6.721
-1.508 0.730 14.715
-2.712 0.004 13.923
0.712 -1.543 4.726
-0.404 2.669 19.490
-1.493 1.701 7.395
0.451 -1.350 10.535
-1.433 -0.126 5.859
-3.303 0.157 10.188
-0.555 -0.525 8.801
-2.073 0.292 12.437
1.370 -0.107 9.353
-2.575 1.120 14.137
-0.157 1.770 10.972
-1.840 0.973 13.601
-0.930 -1.598 4.915
-1.055 -2.879 10.890
-2.841 0.910 9.372
0.046 2.174 13.923
-0.709 -2.097 7.783
0.276 -2.246 6.048
-1.710 -0.985 14.571
-1.527 2.890 9.500
-0.219 0.594 7.313
-0.558 -1.597 8.811
-3.892 -0.736 11.520
-2.549 -0.276 7.399
0.772 0.479 15.220
-0.686 -1.132 8.247
-3.298 -0.115 11.938
0.648 1.567 9.246
-2.020 -0.379 7.793
-2.567 -0.832 8.574
0.013 -0.175 5.758
-3.848 -0.025 14.904
-0.849 0.638 9.325
-0.165 0.028 6.831
-2.396 -1.004 12.781
-2.297 -0.732 13.696
-0.632 1.062 12.658
-0.613 0.234 6.071
-0.263 -1.167 7.668
-4.760 1.406 12.456
