x y z
-1.590 0.533 10.067
-1.557 0.461 10.102
-1.533 0.440 9.968
-1.489 0.422 9.949
-1.525 0.483 9.919
-1.591 0.430 9.921
-1.568 0.488 9.944
-1.477 0.502 9.996
-1.355 0.421 9.920
-1.350 0.445 9.933
-1.354 0.434 9.848
-1.423 0.450 9.838
-1.512 0.452 9.909
-1.490 0.476 9.937
-1.553 0.405 9.885
-1.591 0.370 9.851
-1.763 0.361 9.886
-1.873 0.451 10.006
-1.743 0.458 9.952
-1.614 0.459 9.779
-1.433 0.466 9.754
-1.377 0.403 9.696
-1.372 0.424 9.689
-1.374 0.461 9.687
-1.409 0.541 9.627
-1.488 0.508 9.721
-1.592 0.453 9.790
-1.635 0.435 9.820
-1.615 0.412 9.835
-1.485 0.458 9.805
-1.429 0.470 9.801
-1.453 0.505 9.748
-1.519 0.456 9.770
-1.513 0.455 9.820
-1.500 0.453 9.870
-1.516 0.492 9.814
-1.548 0.529 9.802
-1.553 0.502 9.907
-1.464 0.458 9.882
-1.426 0.459 9.797
-1.436 0.474 9.812
-1.451 0.447 9.779
-1.560 0.449 9.771
-1.608 0.458 9.764
-1.658 0.483 9.811
-1.624 0.453 9.800
-1.540 0.422 9.843
-1.576 0.468 9.779
-1.536 0.501 9.705
-1.596 0.456 9.642
-1.528 0.494 9.623
-1.501 0.515 9.596
-1.428 0.480 9.620
-1.439 0.468 9.651
-1.496 0.446 9.683
-1.489 0.439 9.746
-1.528 0.461 9.758
-1.593 0.508 9.789
-1.573 0.514 9.828
-1.551 0.431 9.823
-1.538 0.427 9.765
-1.527 0.438 9.802
-1.510 0.481 9.796
-1.518 0.450 9.777
-1.551 0.438 9.770
-1.503 0.435 9.775
-1.438 0.406 9.752
-1.409 0.413 9.760
-1.438 0.428 9.805
-1.460 0.419 9.785
-1.460 0.448 9.789
-1.463 0.443 9.767
-1.477 0.476 9.771
-1.502 0.443 9.787
-1.531 0.449 9.796
-1.561 0.441 9.821
-1.544 0.413 9.799
-1.565 0.440 9.766
-1.591 0.442 9.768
-1.545 0.453 9.751
-1.499 0.462 9.756
-1.479 0.480 9.775
-1.454 0.455 9.717
-1.448 0.462 9.709
-1.463 0.425 9.720
-1.513 0.421 9.756
-1.519 0.425 9.783
-1.556 0.446 9.811
-1.535 0.438 9.833
-1.482 0.435 9.857
-1.512 0.428 9.836
-1.531 0.437 9.828
-1.446 0.456 9.863
-1.442 0.461 9.842
-1.490 0.485 9.872
-1.515 0.465 9.784
-1.487 0.486 9.824
-1.482 0.443 9.860
-1.490 0.468 9.839
-1.459 0.466 9.805
-1.470 0.428 9.849
-1.481 0.450 9.846
-1.541 0.440 9.793
-1.549 0.419 9.823
-1.539 0.419 9.861
-1.569 0.465 9.865
-1.533 0.416 9.844
-1.501 0.405 9.778
-1.438 0.452 9.799
-1.466 0.400 9.820
-1.494 0.433 9.822
-1.451 0.406 9.757
-1.499 0.392 9.843
-1.537 0.402 9.851
-1.513 0.421 9.810
-1.505 0.403 9.823
-1.512 0.376 9.854
-1.485 0.400 9.859
-1.416 0.427 9.825
-1.441 0.371 9.837
-1.494 0.416 9.930
-1.481 0.395 9.890
-1.519 0.416 9.816
-1.567 0.400 9.973
-1.682 0.418 10.001
-1.607 0.413 9.881
-1.530 0.419 9.815
-1.424 0.486 9.863
-1.416 0.416 9.836
-1.385 0.407 9.724
-1.362 0.412 9.773
-1.344 0.437 9.822
-1.426 0.461 9.793
-1.489 0.482 9.834
-1.458 0.438 9.925
-1.461 0.464 9.945
-1.508 0.439 9.839
-1.638 0.459 9.805
-1.741 0.436 9.802
-1.763 0.449 9.861
-1.747 0.520 9.870
-1.637 0.475 9.843
-1.494 0.457 9.894
-1.308 0.460 9.860
-1.277 0.461 9.825
-1.408 0.455 9.824
-1.481 0.485 9.834
-1.489 0.457 9.850
-1.591 0.467 9.975
-1.611 0.421 9.962
-1.546 0.477 9.932
-1.530 0.473 9.989
-1.547 0.447 9.889
-1.534 0.452 9.824
-1.528 0.372 9.626
-1.468 0.399 9.653
-1.483 0.397 9.720
-1.422 0.416 9.826
-1.320 0.406 9.818
-1.313 0.406 9.864
-1.318 0.369 9.871
-1.434 0.364 9.807
-1.420 0.394 9.867
-1.572 0.443 9.907
-1.728 0.367 9.873
-1.763 0.365 9.922
-1.866 0.300 9.919
-1.779 0.362 10.018
-1.646 0.425 9.900
-1.420 0.448 9.837
-1.333 0.443 9.738
-1.356 0.459 9.736
-1.296 0.401 9.642
-1.324 0.422 9.646
-1.405 0.472 9.782
-1.483 0.432 9.869
-1.512 0.465 9.962
-1.503 0.385 9.887
-1.527 0.404 9.869
-1.558 0.482 9.851
-1.423 0.528 9.817
-1.375 0.492 9.762
-1.415 0.417 9.777
-1.517 0.378 9.725
-1.601 0.361 9.751
-1.583 0.434 9.765
-1.535 0.509 9.843
-1.479 0.466 9.864
-1.487 0.453 9.878
-1.519 0.397 9.866
-1.507 0.347 9.826
-1.531 0.425 9.770
-1.555 0.540 9.814
-1.620 0.496 9.840
-1.568 0.450 9.907
-1.605 0.442 9.927
-1.547 0.388 9.896
-1.512 0.462 9.863
-1.509 0.422 9.788
-1.449 0.508 9.798
-1.424 0.453 9.719
-1.393 0.468 9.799
-1.497 0.429 9.795
-1.607 0.417 9.800
-1.616 0.462 9.891
-1.649 0.500 9.949
-1.657 0.441 9.982
-1.656 0.482 9.971
-1.579 0.434 9.996
-1.543 0.428 9.979
-1.455 0.404 9.928
-1.434 0.369 9.848
-1.451 0.375 9.875
-1.414 0.371 9.857
-1.474 0.406 9.910
-1.449 0.406 9.958
-1.462 0.397 9.960
-1.445 0.463 9.966
-1.561 0.471 9.923
-1.635 0.449 9.916
-1.674 0.448 9.995
