x y z
-0.267 0.354 8.827
-0.352 0.414 9.873
-0.321 0.427 9.878
-0.324 0.412 9.893
-0.351 0.428 9.891
-0.345 0.380 9.861
-0.325 0.431 9.876
-0.363 0.382 9.844
-0.370 0.431 9.807
-0.357 0.411 9.782
-0.367 0.418 9.811
-0.354 0.450 9.805
-0.381 0.434 9.784
-0.377 0.398 9.776
-0.380 0.448 9.791
-0.370 0.437 9.821
-0.400 0.432 9.784
-0.342 0.444 9.791
-0.330 0.424 9.821
-0.351 0.441 9.900
-0.332 0.466 9.866
-0.371 0.485 9.880
-0.342 0.475 9.869
-0.366 0.455 9.861
-0.371 0.482 9.887
-0.365 0.482 9.881
-0.377 0.483 9.904
-0.335 0.491 9.883
-0.376 0.486 9.921
-0.370 0.466 9.869
-0.372 0.486 9.914
-0.397 0.461 9.873
-0.395 0.468 9.853
-0.411 0.463 9.854
-0.405 0.475 9.851
-0.383 0.474 9.829
-0.380 0.465 9.814
-0.367 0.455 9.823
-0.367 0.429 9.806
-0.370 0.413 9.821
-0.392 0.466 9.782
-0.389 0.467 9.803
-0.386 0.435 9.812
-0.361 0.435 9.814
-0.362 0.431 9.818
-0.361 0.434 9.812
-0.370 0.438 9.812
-0.395 0.415 9.801
-0.366 0.424 9.785
-0.398 0.453 9.794
-0.364 0.425 9.765
-0.349 0.447 9.789
-0.353 0.415 9.791
-0.355 0.443 9.753
-0.352 0.462 9.780
-0.367 0.425 9.748
-0.354 0.446 9.762
-0.346 0.441 9.768
-0.346 0.433 9.799
-0.357 0.441 9.776
-0.387 0.467 9.796
-0.364 0.433 9.817
-0.345 0.451 9.806
-0.345 0.424 9.806
-0.354 0.444 9.792
-0.347 0.436 9.812
-0.346 0.449 9.812
-0.343 0.431 9.814
-0.357 0.443 9.804
-0.327 0.434 9.776
-0.326 0.422 9.804
-0.340 0.452 9.780
-0.362 0.454 9.784
-0.368 0.462 9.781
-0.357 0.412 9.809
-0.340 0.451 9.806
-0.331 0.455 9.830
-0.325 0.427 9.824
-0.351 0.435 9.849
-0.337 0.443 9.817
-0.322 0.419 9.809
-0.331 0.437 9.835
-0.314 0.434 9.828
-0.329 0.427 9.825
-0.342 0.430 9.844
-0.323 0.436 9.829
-0.322 0.415 9.820
-0.335 0.414 9.815
-0.319 0.440 9.806
-0.358 0.438 9.814
-0.391 0.412 9.835
-0.369 0.438 9.820
-0.348 0.428 9.824
-0.306 0.410 9.803
-0.328 0.407 9.796
-0.337 0.419 9.815
-0.333 0.408 9.796
-0.333 0.438 9.795
-0.316 0.438 9.760
-0.327 0.433 9.775
-0.295 0.420 9.812
-0.352 0.438 9.809
-0.307 0.434 9.792
-0.345 0.472 9.834
-0.462 0.437 9.839
-0.522 0.467 9.903
-0.425 0.416 9.888
-0.397 0.451 9.897
-0.392 0.473 9.814
-0.424 0.434 9.847
-0.418 0.421 9.823
-0.379 0.451 9.845
-0.411 0.504 9.802
-0.384 0.488 9.779
-0.376 0.482 9.835
-0.367 0.444 9.858
-0.367 0.440 9.820
-0.373 0.484 9.835
-0.308 0.455 9.849
-0.371 0.479 9.824
-0.404 0.475 9.851
-0.421 0.497 9.859
-0.410 0.450 9.833
-0.422 0.465 9.831
-0.444 0.443 9.861
-0.391 0.443 9.825
-0.423 0.444 9.799
-0.468 0.464 9.880
-0.418 0.442 9.875
-0.438 0.471 9.834
-0.435 0.456 9.850
-0.438 0.456 9.881
-0.412 0.412 9.830
-0.412 0.456 9.874
-0.443 0.437 9.808
-0.440 0.458 9.880
-0.434 0.430 9.826
-0.446 0.441 9.842
-0.437 0.447 9.882
-0.425 0.403 9.831
-0.462 0.453 9.857
-0.487 0.449 9.806
-0.432 0.403 9.842
-0.507 0.424 9.824
-0.476 0.449 9.915
-0.473 0.401 9.847
-0.429 0.410 9.854
-0.483 0.430 9.850
-0.430 0.430 9.814
-0.445 0.421 9.818
-0.482 0.390 9.829
-0.460 0.391 9.846
-0.449 0.449 9.849
-0.458 0.449 9.853
-0.603 0.412 9.839
-0.492 0.458 9.895
-0.468 0.462 9.857
-0.458 0.446 9.878
-0.439 0.438 9.869
-0.478 0.486 9.878
-0.473 0.462 9.861
-0.489 0.452 9.855
-0.474 0.429 9.849
-0.475 0.453 9.855
-0.447 0.452 9.870
-0.485 0.406 9.887
-0.436 0.433 9.869
-0.471 0.444 9.873
-0.435 0.464 9.857
-0.469 0.423 9.813
-0.466 0.434 9.826
-0.444 0.422 9.802
-0.431 0.438 9.848
-0.446 0.412 9.849
-0.460 0.419 9.855
-0.443 0.434 9.805
-0.488 0.430 9.858
-0.461 0.414 9.877
-0.452 0.427 9.845
-0.479 0.448 9.846
-0.456 0.443 9.887
-0.416 0.404 9.864
-0.458 0.437 9.852
-0.449 0.428 9.848
-0.474 0.425 9.866
-0.462 0.452 9.878
-0.458 0.428 9.875
-0.458 0.446 9.852
-0.449 0.480 9.846
-0.440 0.474 9.843
-0.453 0.451 9.883
-0.464 0.465 9.851
-0.452 0.462 9.822
-0.433 0.474 9.878
-0.424 0.467 9.869
-0.475 0.461 9.873
-0.476 0.494 9.891
-0.485 0.430 9.904
-0.453 0.447 9.915
-0.464 0.467 9.926
-0.449 0.467 9.882
-0.481 0.468 9.899
-0.514 0.476 9.916
-0.464 0.464 9.907
-0.477 0.464 9.825
-0.486 0.479 9.883
-0.509 0.474 9.863
-0.444 0.467 9.905
-0.440 0.481 9.885
-0.452 0.482 9.840
-0.440 0.483 9.878
-0.476 0.459 9.857
-0.517 0.453 9.872
-0.508 0.467 9.860
-0.458 0.611 9.878
-0.457 0.449 9.863
-0.433 0.409 9.851
-0.389 0.423 9.836
-0.431 0.432 9.835
-0.464 0.427 9.852
-0.433 0.413 9.819
-0.402 0.431 9.820
-0.398 0.435 9.853
-0.392 0.400 9.872
-0.389 0.392 9.903
-0.386 0.412 9.879
-0.360 0.424 9.899
-0.383 0.421 9.893
-0.418 0.410 9.884
-0.421 0.401 9.896
-0.472 0.444 9.957
-0.524 0.423 9.957
-0.541 0.474 9.958
-0.534 0.459 9.971
-0.580 0.450 9.973
-0.594 0.465 9.960
-0.595 0.452 9.939
-0.537 0.446 9.943
-0.519 0.446 9.882
-0.525 0.471 9.899
-0.535 0.438 9.845
-0.507 0.428 9.890
-0.518 0.441 9.829
