A_X[LSB] A_Y[LSB] A_Z[LSB]
-544 307 15204
-414 338 16574
-284 395 16586
-417 831 16314
-350 714 16035
-421 899 16431
-461 762 16043
-806 998 16411
-634 1060 16413
-393 1405 16582
-291 1480 16615
-325 1376 16452
-561 1323 16951
-522 748 16543
-741 845 16704
-630 353 16511
-672 282 16642
-722 693 16705
-277 559 16169
-256 994 16274
-143 550 15923
-551 1018 16287
-466 912 15883
-655 1073 16025
-696 1363 16320
-378 1315 16454
-413 1670 16468
-333 1060 16497
-484 1066 16688
-546 677 16481
-619 441 16755
-655 464 16468
-473 534 16557
-422 771 16093
-282 578 16054
-436 775 16158
-403 756 15876
-460 898 16212
-707 1089 15944
-743 1123 16619
-723 1378 16419
-273 1196 16428
-190 1477 16783
-400 980 16503
-855 842 17082
-739 466 16645
-554 308 16759
-542 506 16654
-421 328 16595
-560 631 16504
-322 635 16049
-188 961 16324
-301 1126 16041
-246 875 16187
-820 1260 15919
-666 1070 16360
-491 1407 16520
-154 1125 16398
-148 1190 16722
-379 1004 16386
-463 526 16688
-639 474 16523
-585 334 16611
-517 572 16372
-319 394 16103
-250 815 16405
-259 857 15693
-439 987 16270
-655 957 15782
-782 1012 16073
-898 1389 16189
-435 1278 16169
-316 1612 16550
-172 1211 16265
-479 1265 16882
-562 646 16472
-689 498 16642
-837 461 16587
-574 458 16520
-215 692 16553
-99 549 16062
-591 834 16359
-606 798 15991
-534 885 16224
-484 1134 16197
-537 1072 16361
-694 1355 16536
-358 1262 16535
-289 1464 16952
-297 1265 16567
-514 867 16944
-715 531 16546
-596 300 16761
-502 469 16552
-407 492 16504
-357 711 16550
-268 738 15987
-309 939 16299
-487 880 15943
-705 760 16352
-782 923 16274
-483 952 16221
-328 1557 16607
-182 1394 16445
-465 1373 16973
-551 847 16443
-566 600 16689
-695 758 16673
-592 355 16627
-730 708 16542
-312 586 16332
-251 995 16317
-253 977 15977
-328 807 15920
-504 954 16003
-590 957 16043
-778 1382 16252
-399 1355 16480
-404 1564 16654
-194 1218 16368
-390 1109 16648
-538 773 16616
-577 412 16823
-655 522 16513
-519 361 16544
-515 716 16588
-377 715 16200
-370 790 16216
-404 805 15857
-493 839 16256
-700 1144 16296
-649 925 16142
-669 1350 16458
-240 1250 16570
-185 1442 16795
-377 1050 16673
-479 667 16535
-841 711 16848
-558 221 16710
-578 648 16934
-427 324 16554
-602 737 16617
-505 730 16352
-281 796 16325
-270 1080 15996
-251 858 16129
-764 1203 15984
-699 1064 16436
-818 1547 16644
-369 1401 16463
-65 1182 16686
-269 951 16384
-467 487 16811
-674 505 16681
-608 275 16455
-652 565 16891
-364 447 16193
-321 804 16559
-344 903 15754
-359 950 16248
-562 1041 16198
-677 863 16077
-823 1328 16306
-486 1301 16120
-376 1625 16668
-182 1278 16383
-489 1143 16602
-540 1146 16698
-648 489 16621
-917 538 16732
-538 283 16616
-235 735 16637
-156 831 16351
-215 589 16350
-577 805 16105
-456 790 16298
-555 1308 16381
-468 1018 16294
-769 1239 16739
-501 1257 16628
-357 1479 16978
-262 1311 16649
-419 729 16854
-752 557 16634
-636 292 16728
-748 584 16906
-369 413 16513
-341 720 16635
-306 745 16080
-300 915 16378
-454 995 16161
-418 590 16092
-877 972 16463
-546 1020 16379
-252 1530 16905
-226 1537 16489
-527 1198 16694
-629 1184 16652
-434 600 16782
-600 809 16840
-727 388 16587
-727 543 16850
-286 677 16483
-245 866 16519
-209 1036 16100
-221 595 16088
-513 958 16083
-554 1049 16090
-765 1250 16384
-691 1344 16246
-368 1349 16678
-267 1487 16467
-340 1114 16815
-673 814 16657
-561 349 16527
-673 501 16867
-494 401 16626
-524 766 16800
-439 711 16244
-373 767 16297
-329 867 16300
-371 745 16131
-599 1087 16441
-663 927 16141
-653 1238 16653
-346 1334 16566
-145 1322 16628
-211 1411 16832
-359 733 16593
-828 717 17037
-680 331 16886
-597 617 16964
-365 470 16696
-392 457 16664
-537 743 16521
-337 644 16276
-238 1096 16294
-141 869 16157
-693 1232 16594
-727 1254 16307
-729 1368 16567
-419 1465 16448
-16 989 16526
-277 977 16617
-431 372 16666
-717 700 16937
-690 368 16628
-557 483 16850
-378 485 16360
-348 760 16520
-434 957 16359
-251 650 15909
-542 1094 16354
-607 824 16166
-803 1272 16319
-553 1263 16174
-352 1584 16390
-316 1642 16712
-243 1206 16599
-474 1171 16800
-631 580 16581
-847 482 16882
-614 325 16744
-415 477 16682
-194 859 16544
-78 571 16380
-564 859 16394
-550 693 16287
-532 1290 16467
-433 1116 16253
-509 1129 16757
-652 1346 16701
-324 1420 16944
-283 1371 16720
-369 728 16601
-652 807 17113
-696 418 16748
-600 445 16933
-505 463 16513
-446 600 16687
-301 759 16696
-244 694 16015
-315 973 16347
-455 669 16171
-826 936 16583
-528 954 16423
-318 1612 16394
-254 1587 16701
-193 1191 16622
-598 1298 16836
-509 753 16720
-700 852 16918
-618 351 16722
-638 332 16897
-632 694 16641
-308 745 16540
-244 1014 16316
-188 537 16086
-535 994 16370
-520 1060 16114
-544 1145 16327
-683 1319 16333
-383 1362 16801
-300 1535 16547
-267 1170 16821
-463 1068 16772
-628 573 16628
-686 471 17025
-559 432 16605
-532 628 16834
-469 740 16283
-349 503 16250
-406 816 16347
-316 838 16061
-581 998 16523
-713 885 16168
-721 1238 16757
-678 1536 16542
-231 1299 16715
-237 1406 16900
-373 817 16634
-802 769 17156
-715 429 16868
-612 304 16954
-521 441 16793
-406 328 16765
-526 703 16620
-406 676 16335
-284 1037 16474
-300 1171 16333
-323 1023 16634
-774 1327 16219
-781 1334 16626
-503 1432 16769
-116 1047 16495
-147 1204 17130
-326 1016 16607
-625 673 16966
-659 304 16580
-611 434 16953
-430 521 16457
-286 427 16319
-264 767 16486
-223 721 15986
-484 1047 16439
-684 932 16152
-822 1158 16479
-788 1409 16399
-295 1365 16447
-349 1686 16789
-342 1228 16622
-472 1170 16918
-533 604 16529
-633 616 17012
-830 539 16724
-529 304 16770
-280 733 16552
-93 614 16410
-556 842 16396
-545 714 16230
-582 992 16521
-496 1173 16220
-529 1183 16874
-668 1370 16722
-397 1390 17029
-383 1459 17046
-312 1119 16770
-427 809 17235
-715 462 16791
-731 388 17085
-612 438 16647
-421 279 16736
-423 825 16690
-214 702 16125
-345 1043 16419
-348 673 16254
-784 945 16689
-845 973 16349
-509 1072 16492
-235 1582 16744
-125 1238 16642
-622 1404 16946
-545 669 16850
-602 650 16838
-611 532 16848
-647 280 16954
-715 730 16689
-351 710 16601
-290 1020 16344
-210 860 16285
-390 975 16401
-452 987 16182
-642 1190 16390
-705 1444 16346
-333 1306 16815
-426 1646 16743
-140 1214 16631
-508 1057 16898
-575 560 16703
-649 442 17106
-649 441 16637
-476 263 16749
-516 672 16625
-387 500 16290
-392 897 16347
-345 807 16085
-610 1006 16611
-783 1162 16298
-656 957 16545
-628 1447 16615
-279 1342 16727
-167 1385 17017
-328 806 16658
-478 814 17151
-871 685 16775
-714 347 17063
-494 410 16896
-328 393 16736
-523 738 16686
-466 696 16335
-295 815 16777
-269 1120 16225
-337 1170 16690
-721 1244 16295
-868 1363 16532
-752 1496 16948
-421 1572 16691
-196 1148 17133
-348 989 16807
-549 639 17034
-594 319 16840
-695 273 16663
-655 578 17006
-303 397 16279
-220 817 16502
-176 743 15998
-577 1001 16448
-699 925 16014
-694 788 16272
-743 1465 16489
-313 1350 16390
-467 1665 16911
-304 1154 16557
-331 1281 17099
-405 985 16773
-720 600 16970
-939 476 16836
-581 391 16848
-200 818 16623
-120 873 16447
-302 792 16532
-586 738 16297
-556 933 16454
-451 1199 16394
-578 1152 16686
-755 1326 16953
-437 1216 16706
-288 1471 17089
-258 1064 16803
-631 881 17239
-729 426 16945
-667 186 16886
-630 535 17070
-437 375 16760
-491 835 16779
-235 660 16145
-399 1050 16489
