W (4056) main: 1,18166, us,,18166,9401,12102,92601,57281,81005,254472,258653,257039
W (4056) main: 0,22147, us,,22147,24017,19480,85877,72059,99029,255849,263288,266568
W (4066) main: 2,22225, us,,22225,26637,20646,100196,76941,100395,276542,268748,267266
W (5056) main: 2,10131, us,,10131,9056,9930,76707,72954,91350,253920,261106,251893
W (5056) main: 1,20339, us,,20339,15831,20456,99320,75977,98644,267685,269429,266927
W (5056) main: 0,22014, us,,22014,22321,22103,97441,71158,90579,271676,270141,271541
W (6056) main: 1,16676, us,,16676,17463,11026,78239,61986,91308,254046,254776,253309
W (6056) main: 0,17907, us,,17907,13415,18283,97925,72097,87592,264382,266740,264281
W (6056) main: 2,15151, us,,15151,22822,28443,97165,75834,102054,260842,272117,270791
W (7056) main: 2,14047, us,,14047,17444,9820,98146,64658,91345,272979,258125,251335
W (7056) main: 0,22942, us,,22942,14492,16773,112608,75129,90626,276626,263911,268161
W (7066) main: 1,25612, us,,25612,23530,21888,94917,79017,101529,270219,266111,274797
W (8056) main: 2,9653, us,,9653,18698,11011,99537,70309,91312,258299,268645,247102
W (8056) main: 1,18475, us,,18475,16198,18956,95058,72463,86690,265547,269926,260111
W (8066) main: 0,23956, us,,23956,22680,26574,88999,70637,101127,274486,272030,263984
W (9056) main: 2,10916, us,,10916,17423,10234,89823,65088,91363,255448,264101,248131
W (9066) main: 0,23781, us,,23781,11758,18502,83444,77629,88480,267195,272380,263866
W (9066) main: 1,25108, us,,25108,21417,24408,106036,80567,101903,273656,273057,270036
W (10046) main: 2,9296, us,,9296,20655,11078,79173,58687,91364,262081,257428,253362
W (10056) main: 1,20641, us,,20641,14029,21118,94190,78318,97913,265564,265121,263869
W (10056) main: 0,22859, us,,22859,23108,24146,106269,81032,91221,276555,275351,270368
W (11056) main: 2,10123, us,,10123,18736,10629,75040,70065,91272,268345,263704,272524
W (11066) main: 1,25721, us,,25721,16269,18929,97568,76048,89444,265160,274347,269555
W (11066) main: 0,27885, us,,27885,23436,23871,95694,82168,100142,275685,278113,276629
W (12056) main: 2,9737, us,,9737,15074,9967,76525,64023,91604,255335,265060,255348
W (12056) main: 1,21366, us,,21366,22276,18286,101333,76130,95428,268155,272215,265942
W (12066) main: 0,23975, us,,23975,17523,26952,97557,78624,88343,274253,276260,271290
W (13046) main: 2,9498, us,,9498,17603,11131,76192,62455,91310,249891,246627,255621
W (13066) main: 1,24064, us,,24064,13465,20212,98979,83484,86597,267616,263741,264394
W (13066) main: 0,26969, us,,26969,21578,23284,96654,87098,102419,273093,269678,261891
W (14046) main: 2,9500, us,,,,,,,,,,
W (14066) main: 1,24057, us,,,,,,,,,,
W (14066) main: 0,27533, us,,,,,,,,,,
W (15046) main: 2,9541, us,,,,,,,,,,
W (15056) main: 1,21140, us,,,,,,,,,,
W (15066) main: 0,25277, us,,,,,,,,,,
W (16056) main: 2,9542, us,,,,,,,,,,
W (16056) main: 1,22559, us,,,,,,,,,,
W (16066) main: 0,25522, us,,,,,,,,,,
W (17056) main: 2,9560, us,,,,,,,,,,
W (17056) main: 1,20505, us,,,,,,,,,,
W (17056) main: 0,23403, us,,,,,,,,,,
W (18056) main: 2,10120, us,,,,,,,,,,
W (18056) main: 1,21343, us,,,,,,,,,,
W (18066) main: 0,23932, us,,,,,,,,,,
W (4057) main: 2,9401, us,,,,,,,,,,
W (4067) main: 1,24017, us,,,,,,,,,,
W (4067) main: 0,26637, us,,,,,,,,,,
W (5057) main: 2,9056, us,,,,,,,,,,
W (5057) main: 0,15831, us,,,,,,,,,,
W (5057) main: 1,22321, us,,,,,,,,,,
W (6057) main: 1,17463, us,,,,,,,,,,
W (6057) main: 2,13415, us,,,,,,,,,,
W (6067) main: 0,22822, us,,,,,,,,,,
W (7057) main: 1,17444, us,,,,,,,,,,
W (7057) main: 2,14492, us,,,,,,,,,,
W (7067) main: 0,23530, us,,,,,,,,,,
W (8057) main: 1,18698, us,,,,,,,,,,
W (8067) main: 2,16198, us,,,,,,,,,,
W (8067) main: 0,22680, us,,,,,,,,,,
W (9057) main: 1,17423, us,,,,,,,,,,
W (9057) main: 2,11758, us,,,,,,,,,,
W (9067) main: 0,21417, us,,,,,,,,,,
W (10057) main: 1,20655, us,,,,,,,,,,
W (10057) main: 2,14029, us,,,,,,,,,,
W (10067) main: 0,23108, us,,,,,,,,,,
W (11057) main: 1,18736, us,,,,,,,,,,
W (11067) main: 2,16269, us,,,,,,,,,,
W (11067) main: 0,23436, us,,,,,,,,,,
W (12057) main: 0,15074, us,,,,,,,,,,
W (12057) main: 1,22276, us,,,,,,,,,,
W (12067) main: 2,17523, us,,,,,,,,,,
W (13057) main: 1,17603, us,,,,,,,,,,
W (13057) main: 2,13465, us,,,,,,,,,,
W (13067) main: 0,21578, us,,,,,,,,,,
W (14057) main: 1,17572, us,,,,,,,,,,
W (14057) main: 2,15482, us,,,,,,,,,,
W (14067) main: 0,22125, us,,,,,,,,,,
W (15057) main: 1,17565, us,,,,,,,,,,
W (15057) main: 2,11821, us,,,,,,,,,,
W (15067) main: 0,22054, us,,,,,,,,,,
W (16057) main: 2,9085, us,,,,,,,,,,
W (16057) main: 0,17575, us,,,,,,,,,,
W (16067) main: 1,27166, us,,,,,,,,,,
W (17057) main: 1,17485, us,,,,,,,,,,
W (17057) main: 2,13411, us,,,,,,,,,,
W (17067) main: 0,23667, us,,,,,,,,,,
W (18057) main: 1,17669, us,,,,,,,,,,
W (18057) main: 2,14533, us,,,,,,,,,,
W (18067) main: 0,22920, us,,,,,,,,,,
W (4057) main: 1,12102, us,,,,,,,,,,
W (4057) main: 2,19480, us,,,,,,,,,,
W (4057) main: 0,20646, us,,,,,,,,,,
W (5057) main: 1,9930, us,,,,,,,,,,
W (5057) main: 2,20456, us,,,,,,,,,,
W (5057) main: 0,22103, us,,,,,,,,,,
W (6057) main: 1,11026, us,,,,,,,,,,
W (6057) main: 2,18283, us,,,,,,,,,,
W (6067) main: 0,28443, us,,,,,,,,,,
W (7057) main: 1,9820, us,,,,,,,,,,
W (7057) main: 2,16773, us,,,,,,,,,,
W (7057) main: 0,21888, us,,,,,,,,,,
W (8057) main: 1,11011, us,,,,,,,,,,
