us,N,32,256,1024,,"1os, posielanie štatistík a eventov v pokoji, vyhladeni frekv. Spektra 4"
DFT,A1,518,2616,6401,,
,A2,435,1598,6209,,
,A3,467,1695,3864,,
DCT,A1,503,2117,4980,,
,A2,424,1012,3136,,
,A3,446,1064,3518,,
,,,,,,
us,N,32,256,1024,,"3 osi,"
DFT,A1,2503,3077,10177,,
,A2,556,3340,10334,,
,A3,591,1295,4670,,
DCT,A1,667,1978,8485,,
,A2,518,1049,3720,,
,A3,572,1048,3897,,
,,,,,,
us,N,32,256,1024,,"1 os,+ posielanie spektra + štatistiky s koreláciou"
DFT,A1,14750,34883,129190,,
,A2,8824,34351,139451,,
,A3,13795,34890,137346,,
,,,,,,
us,N,32,256,1024,,3 osi + posielanie spektra + štatistiky s koreláciou
DFT,A1,23851,101978,273696,,Priemer maxím z každej osi
,A2,22981,78972,272161,,
,A3,24232,100156,270110,,
