MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 246240, 118784
MEM, 2, 274768, 189440, 110592
MEM, 10, 274768, 183348, 110592
MEM, 11, 274768, 177256, 110592
MEM, 12, 274768, 171164, 110592
MEM, 20, 274768, 165320, 110592
MEM, 30, 274768, 165072, 110592
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 245884, 118784
MEM, 2, 274768, 188976, 110592
MEM, 10, 274768, 182640, 110592
MEM, 11, 274768, 176308, 110592
MEM, 12, 274768, 169976, 110592
MEM, 20, 274768, 164096, 110592
MEM, 30, 274768, 163848, 110592
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 245200, 118784
MEM, 2, 274768, 188112, 110592
MEM, 10, 274768, 181296, 110592
MEM, 11, 274768, 174480, 110592
MEM, 12, 274768, 167656, 110592
MEM, 20, 274768, 161716, 110592
MEM, 30, 274768, 161668, 110592
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 243792, 116736
MEM, 2, 274768, 186304, 110592
MEM, 10, 274768, 178512, 110592
MEM, 11, 274768, 170720, 110592
MEM, 12, 274768, 162928, 110592
MEM, 20, 274768, 156856, 110592
MEM, 30, 274768, 156808, 110592
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 241008, 114688
MEM, 2, 274768, 182768, 110592
MEM, 10, 274768, 173024, 110592
MEM, 11, 274768, 163280, 110592
MEM, 12, 274768, 153536, 110592
MEM, 20, 274768, 147212, 110592
MEM, 30, 274768, 147160, 110592
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 235376, 110592
MEM, 2, 274768, 175596, 110592
MEM, 10, 274768, 161936, 110592
MEM, 11, 274768, 148288, 110592
MEM, 12, 274768, 134640, 110592
MEM, 20, 274768, 127800, 110592
MEM, 30, 274768, 127752, 110592
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 224176, 110592
MEM, 2, 274768, 161324, 110592
MEM, 10, 274768, 139868, 110592
MEM, 11, 274768, 118412, 110592
MEM, 12, 274768, 96956, 92160
MEM, 20, 274768, 89096, 86016
MEM, 30, 274768, 89048, 86016
MEM, State, Total, Free, Largest
MEM, -1, 274768, 248300, 120832
MEM, 0, 274768, 246960, 118784
MEM, 1, 274768, 201648, 110592
MEM, 2, 274768, 132644, 110592
MEM, 10, 274768, 95572, 92160
MEM, 11, 274768, 58500, 56320
MEM, 12, 274768, 21420, 19456
MEM, 20, 274768, 11508, 9472
MEM, 30, 274768, 11460, 9472
