,,Nespracované,,Spracované,,,
N,config/response,stream/samples,stream/frequency/z,stream/statistics/z,events/frequency/z,,
RAM,120,(N / 3 + 1) * 3 * 4,4xN / 2,52,20*(N/2),,
MSGPACK,420,(N / 3 + 1) * 3 * 5,(14 až 18) + (N / 2) * 5,123,Min. 17,,
Min.MQTT topic,21,20,24,25,23,,
1 element MSGPACK,,5,5,9 až 12,17,,
,,,Min. počet vzoriek,N*5 > 123 => 32,-,,
,,,Max. počet udalostí,-,N*5/2 > 17+(x*17),x=(N*5/2 – 17) / 17,
,,,,,,Aj perecntuálne x / N,
,,,,kedy sa oplatí?,kedy sa oplatí?,,
Réžia,,,,,Max.17+17*(N/2),,
ETHII,14,,,,,,
Ipv4,20,,,,,,
TCP,20,,,,,,
MQTT,HDR(5)+ TOPIC+MSG,,,,,,
Min.,59,,,,Max.veľkosť buffera,5248,LARGEST_MESSAGE
,,,,,request MQTT,24,
,,,,,request frame,78,
,,,,,Syslog,86+87+83,
